1468	1	1
2363	1	1
2698	1	1
3651	1	1
3819	1	1
4339	1	1
4950	1	1
205	2	1
3790	2	1
4633	2	1
4682	2	1
6045	2	1
131	3	1
6919	3	1
7602	3	1
8672	3	1
9489	3	1
4395	4	1
4764	4	1
5341	4	1
5907	4	1
6040	4	1
7336	4	1
7756	4	1
8720	4	1
3013	5	1
3563	5	1
6753	5	1
8044	5	1
8657	5	1
6503	6	1
7192	6	1
7350	6	1
7370	6	1
7383	6	1
7572	6	1
7907	6	1
8170	6	1
8334	6	1
8490	6	1
9066	6	1
644	7	1
892	7	1
958	7	1
2431	7	1
2754	7	1
2937	7	1
3420	7	1
3473	7	1
4193	7	1
4269	7	1
5486	7	1
5527	7	1
6295	7	1
7164	7	1
7347	7	1
7818	7	1
9373	7	1
206	8	1
6211	8	1
7081	8	1
7367	8	1
7551	8	1
7728	8	1
8255	8	1
8454	8	1
9532	8	1
3177	9	1
4999	9	1
5399	9	1
5564	9	1
5680	9	1
5863	9	1
6105	9	1
8111	9	1
9333	9	1
9577	9	1
358	10	1
558	10	1
984	10	1
989	10	1
1145	10	1
2458	10	1
2605	10	1
3293	10	1
3659	10	1
3818	10	1
6928	10	1
8415	10	1
4047	11	1
4455	11	1
5574	11	1
5920	11	1
6225	11	1
6653	11	1
7391	11	1
8060	11	1
8705	11	1
5906	12	1
7985	12	1
8139	12	1
9237	12	1
6753	13	1
7665	13	1
9566	13	1
6319	14	1
7347	14	1
7557	14	1
2018	15	1
6927	15	1
7657	15	1
9257	15	1
1352	16	1
2183	16	1
6536	16	1
7178	16	1
8289	16	1
9318	16	1
2292	17	1
4894	17	1
5812	17	1
8612	17	1
6281	18	1
6336	18	1
776	19	1
2258	19	1
4631	19	1
4848	20	1
5784	20	1
6598	21	1
2986	22	1
3766	22	1
4922	22	1
6312	22	1
8530	22	1
915	23	1
1267	23	1
1291	23	1
1352	23	1
1554	23	1
1914	23	1
2400	23	1
2505	23	1
2506	23	1
2507	23	1
4053	23	1
4817	23	1
5542	23	1
5882	23	1
6317	23	1
364	24	1
1175	24	1
2501	24	1
3340	24	1
3616	24	1
4218	24	1
3676	25	1
3774	25	1
5269	25	1
459	26	1
3011	26	1
3212	26	1
4512	26	1
5100	26	1
5339	26	1
7183	26	1
349	27	1
623	27	1
1895	27	1
1944	27	1
2444	27	1
3407	27	1
7449	27	1
9021	27	1
5205	28	1
8229	28	1
6302	29	1
7979	29	1
8950	29	1
7194	30	1
8802	30	1
514	31	1
739	31	1
4399	31	1
5020	31	1
6761	31	1
272	32	1
3856	32	1
6238	32	1
6890	32	1
